aas	ay
karton	cartoon	carton
kaschieren	cash
kaschmir	kashmir
käse	cess
kasino	casino
kaskade	cascade
kasper	casper
kaspern	casper
kassierer	cassia
kastagnette	castanet
kastellan	castellan
kasten	castle	chasten
kästen	incest
kastrieren	caster
kasus	casual	casus	case
katalog	catalog
katalonien	catalonia
katalytisch	catalytic
katamaran	catamaran
katapult	catapult
katarrh	catarrh	catarrhal
katastrophe	catastrophe
katechismus	catechism
kategorie	categoric
kategorisch	categoric
kater	cater	cat
kathedrale	cathedral
kathode	cathode
katholisch	catholic
katz	cat	chat	kat
kauern	churn	court
kauf	chuff
kaukasus	caucasus
kaum	chum
kausal	causal	cause
kausalität	causal	causality
kaustisch	caustic	caustically
kaution	caution
kavalier	cavalier
kaverne	cavern
kaviar	caviar
kavitation	cavity
keck	cic
kegel	hegel
kehren	gear
keim	germ
keimen	germ	german
kein	key	city	cain
kelle	cell
keller	cell	caller
kelterei	center
keltern	center
kelvin	calvin	kelvin	calve
kempten	kempt
kenia	genic
kennen	ken	gen
kennung	kenning
kent	cent	gent	kent
kentern	center
keramisch	ceramic
kerbel	cable
kerben	cable
kerker	corker
kern	kern	ken	gen
kernen	kern	gern	ken
keß	cess	cess	keg
kessel	cess
ketten	get
khmer	khmer
kicken	kick
kidnappen	kidnap
kiefer	keeper	confer
kiel	keel
kieler	keel
kiemen	keen
kiew	kiev
killen	killed
killer	killer	kill
kilometer	kilometer
kind	kind	king	kiddy
kinderei	cinder
kindisch	kind	indic	kidd
kindlich	kindly
kinematisch	cinematic
kinetik	kinetic
kinn	kin
kino	kino	kin
kiosk	kiosk
kippen	kip
kirche	kirk
kirsche	kirsch
kissen	kiss
kit	city	kit	cite
kitsch	kitsch
kitt	kit	cit	cite
kitten	kitten	kit
kitzel	kitten
klaffen	clef
klafft	cleft
klamm	clam
klang	clang	clan	clank
klang	clang	clan	clank
klänge	clan	clanger	clang
klap	clap
klappen	clap
klappern	clapper
klappert	clapper
klappt	clapping
klar	clary
klären	clary
klärung	clary
klasse	class	classes	classic
klassifikation	classification
klassifizieren	classification
klassifizierung	classification
klassik	classic	classical
klassiker	classic
klassisch	classic
klassizistisch	classicistic
klausel	clause
klavier	clavier
kleber	clever
klein	clinic
klerikal	cleric
kleriker	cleric
klerus	clear
klette	cleat
kleve	clever
klick	click
klient	client
klimatisch	climatic
klingen	cling
klinik	clinic
klinisch	clinic	clonic
klinken	clink
klippe	clipper
klipper	clipper
klippig	clipping
klischieren	clich
klonen	clone	clonic
klosett	closet
kloß	clog
klotz	clot
klub	club
klug	clough
klumpen	clump
knabe	knave
knacken	knack	knacker
knacks	knocks
knälle	knell
knattern	knitter	knit
knesset	knesset
knie	knee
knolle	knoll
knoten	knotty
knoten	knotty
knotig	knotty
knurrt	knurr
koalition	coalition
kobalt	cobalt
kobold	kobold
kobra	cobra
koch	coke
kochen	kitchen
kodieren	coding	codify	code
kodierung	coding	code
koeffizient	coefficient
koexistenz	coexistence	coexist
koffer	coffer
kognak	cognac
kognition	cognition
kognitiv	cognitive
kohärent	coherent
kohärenz	coherence
kohl	kohl	coming
kohle	kohl
kohorte	cohort
koinzidenz	coincidence
kokain	coca	cocaine
kokon	cocoon
kolik	colic	color
kollage	collage	collagen
kollege	college
kollegien	college
kollegium	college
kollekte	collect
kollektion	collection	collectiveness
kollektiv	collective	collection	collectively
kollektor	collector
koller	coll	collar
kollidieren	collide
kollier	collier	coll
kolloquium	colloquium
kolonist	colonist
kolonne	colon
koloriert	colored
kolorist	colorist
kolorit	colori
kolumne	column
kolumnist	columnist
kombinat	combination
kombination	combination
komet	comet	comer
komfort	comfort
komik	comic
komiker	comic
komisch	comic
komitee	commit
komma	comma
kommandeur	commander
kommandieren	command	commanding
kommando	commando
kommentar	comment
kommentiert	comment
kommerz	commerce
kommerziell	commercial
kommissar	commissar
kommission	commission
kommission	commission
kommode	commode
kommune	commune	common
kommunikation	communication
kommunikation	communication
kommunikativ	communication
kommunikator	communicatory	communication
kommunismus	community
kommunist	communist
kommunizieren	communication
komödiant	comedian
komödie	comedy	comedie
kompakt	compact
kompaktheit	compactness
kompanie	company
kompaß	compass
kompatibel	compatible
kompatibilität	compatibility
kompensation	compensation
kompensieren	compense
kompetent	competent
kompetenz	competence	competency	competent
kompetitiv	competitive
kompilation	compilation
komplement	complementation	complement
komplementbildung	complementation
komplett	complete
komplex	complex
komplexität	complexity
komplize	complice
komplizieren	comply
kompliziert	complicated
komplizierung	compliance	complication
komplott	complot
komponente	component
komposition	composition
kompositorisch	compositional
kompost	compost
kompott	compote
kompression	compression
kompressor	compressor
kondensieren	condensing
kondition	condition	conditioning
konditional	conditionally	conditional	conditionality
konditionell	conditionally
konditionieren	conditioning
konfektion	confection
konferenz	conference
konfession	confession
konfetti	confetti
konfident	confidente	confident
konfiguration	configuration
konfigurationsdaten	configuration
konfigurieren	configuration
konfigurierung	configuration
konfirmation	confirmation
konfiszieren	confiscate
konfitüre	confiture
konflikt	conflict
konform	conform
konfus	confuse
konfuzius	confucius
kongenial	congenially
kongo	congo	kongo
kongolesisch	congolese
kongregation	congregation
kongreß	congress	congress
kongruenz	congruence
konisch	conic	conically	con
konjugation	conjugation
konjugieren	conjugate
konjunktion	conjunction
konkav	concave	concavely
konklave	conclave
konkordat	concordat
konkurrent	concurrent
konkurrieren	concurring
können	ken
konquistador	conquistador
konsens	consent	present
konsequenterweise	consequently
konsequenz	consequence
konservativ	conservative
konserve	conserve	preserve
konservieren	conserving
konsistent	consistent	consistently
konsistenz	consistency
konsole	console	insole
konsolidierung	consolidation
konsortium	consortium
konstellation	installation
konstituieren	constitution
konstituierung	constitution
konstitution	constitution
konstitutionell	constitutional
konstitutiv	constitutional	institutional
konstruieren	construction
konstrukt	construction	constructive	construct
konstruktion	construction
konstruktiv	constructive	construction
konstruktor	construction
konsul	consul
konsum	consume
konsumieren	consuming
kontakt	contact
kontaktieren	contact
kontaktierung	contact
kontaminieren	contaminate
konten	content
kontern	intern
kontext	context	contexture
kontinent	continent
kontinental	continental
konto	conto	into
kontor	contour
kontra	contra	contrate	intra
kontrakt	contract
kontrast	contrast
kontrollierbar	controllable
kontrovers	controversial
kontur	contour
konvent	convent
konventionell	conventional
konvergent	convergency	convergent
konvergenz	convergency	convergence
konvergieren	converging
konversation	conversation
konversion	conversion	conversation
konverter	converter
konvex	convex
konvoi	convoy
konzentration	concentration
konzentrierung	concentration
konzept	content	intent	concept
konzeption	conception
konzeptlos	contentless
konzern	intern	concern
konzert	concert
konzipierung	incipience
kooperation	cooperation
kooperativ	cooperative
kooperieren	cooper
koordination	coordination
koordinator	coordinator
koordinierung	coordination
kopenhagen	copenhagen
kopf	cop
kopie	copy	copia
kopieren	coping	copia
kopierer	copia
koppel	copper
koppeln	copper
koralle	coral
koran	koran
korea	korea	korean
koreaner	korean
koreanisch	korean
korinth	corinth
korinther	corinth
korken	cork	corking	corked
korn	corn	cor
korollar	corollary
korona	corona
korporation	corporation	incorporation
korps	corps	corpse
korrekt	correct
korrekterweise	correctly	incorrectly
korrektheit	correctness
korrelat	correlation
korrelation	correlation
korrelieren	correlation
korrespondent	correspondent
korrespondieren	corresponding
korridor	corridor
korrupt	corrupt
korruption	corruption
korse	course	corse
korselett	corselet
korsett	corset
korso	corso
kosmetika	cosmetician	cosmetic
kosmetiker	cosmetician	cosmetic
kosmetisch	cosmetic	cosmetician
kosmisch	cosmic	cosmical
kosmologie	cosmologic
kosmos	cosmos	kosmos
kost	cost
kostbar	costly
kosten	cost	costa
kosten	cost	costa
kostüm	costume
kostümieren	costumier
kot	cot	cote
krabbe	crabbe
kracht	craft	wright	kraft
kraft	craft	kraft	crape
kragen	crag
kram	cram
kramen	cram
krampf	cramp
kran	cran	crane
krank	crank
kranken	crank
kraß	crag	crass
krater	crater	writer	crate
kratzen	written
kraut	kraut
kreativ	creative
kreativität	creativity
kredit	credit
kreditfähig	creditable
kreditieren	crediting	credit
krempe	crimp
kreole	creole
kresse	crest	cress	wrest
kreta	create	crete
kribbeln	cribble
kricket	cricket
kriechen	creep
krim	crime	crim
krimi	crim
kriminalistisch	criminalism
kriminalität	criminalism
kriminell	criminal
kristallin	crystalline
kristallinisch	crystalline
kritik	critic
kritiker	critic
kritisch	critic
kroaten	croat
kroch	crotch
krone	crone	croon
krönen	wren
krönung	wren
kröte	crete
krumm	crumb
krümmen	crumble
kruste	crust
kruzifix	crucifix
kuba	cuba	cuban
kubaner	cuban
kubanisch	cuban
kübel	cover	cove
kubisch	cubic	cuban
kubismus	cubism
kubistisch	cubic	cubicle
kubus	cub
kugel	bugle
kugeln	bugler
kult	cult
kultur	culture
kulturell	culture
kummer	bummer	bumper
kumpel	compel	bumper
kumulation	accumulation
kumulativ	accumulative	cumulative
kumuliert	accumulate
kumulierung	accumulation
kund	bund	count
kunde	bund
künder	cunner
kupon	coupon
kuppe	kip
kuppeln	kip
kur	cour	cur	bur
kurbel	corbel
kurbeln	burbling
kurde	curd	burden
kuren	cour
küren	cured
kurie	curia	curie
kurier	curia
kurs	course	court
kursieren	cursing	course
kursiv	cursively	cursive
kursus	course
kurve	curve
kurven	curve	curved
kurz	court	burn
kürzlich	curtly
kuschen	bush	bushed
kusine	cousin
kuß	bug	buss	cuss
küssen	cussed
kutsche	butch	cutch	butcher
kutscher	butcher
kuvert	couvert
kuwait	kuwait
kyoto	kyoto
laben	cable
labor	labor	lab	laboratory
laboratorium	laboratory
laborieren	laboring	labor
labrador	labrador
labyrinth	labyrinth	labyrinthic
lachen	cache
lacher	cacher	cache
lacht	light	dight
lacke	lack	lock	lacker
lackieren	lacking	locking	lack
lackierung	lacking	locking
laden	laden	lady	lad
laden	laden	lady	lad
läden	led
lädieren	led
lady	lady	ladys	lade
lag	lay	lag
lage	case	lase	lager
lägen	leg
lager	lager	laser	layer
lagern	lager	laser
lagerung	lager
lagune	lagoon
laie	lay	lain
laizistisch	laic
laken	lac	lake	lace
lakonisch	laconian	laconically	laconic
lallen	called	calla
lama	lama	lame
lamelle	camel
lamentieren	lament	lamenting
lamm	cam
lampe	lamp	camp	lampe
lancaster	lancaster
land	land	lance	candy
landau	landau
landen	land	lands	landed
länder	lender	land	lancer
landschaft	landscape
lang	lang
länge	lang
langen	lang
lanze	lance	lancer
laos	laos
lapidar	lapidate
lappen	lap	lapp	cap
larve	carve	larva
las	las	lass	lase
lasche	lash	cache	cash
lässig	less
lasso	lasso	lass
last	last	cast
lasten	castle	last
laster	caster	last	luster
latein	latin
latent	latent	later
latex	latex
latinum	latino
latschen	lac	latch	catch
latte	late	cat	lat
latz	land	cat	lat
lau	too
lauch	touch	touchy
lauf	cauf
laus	cause	tous
lausen	cause	causa
lausig	cause
laut	tout
laut	tout
lava	lava
lavendel	lavender
layout	layout
leasen	lease	leas
leasing	lease
leben	leben	live	leve
lebensdaten	leben
leber	lever	liver	diver
leck	dick	lick
lecken	dick
lecker	dicker
led	led	ld	let
leder	led	leader	ld
ledig	dice	lady
leer	leer	lean	lee
leeren	merry	leer
leerung	merry	leery
legal	legal	legate
legen	leg
legendär	legendary
leger	digger
legiert	legate
legion	legion
legislativ	legislative
legitim	legitimate
lehren	lehren	learn
lehrzeit	lear	mehr
leid	leid	did	lid
leiden	leiden	leid	did
leider	leid	did
leine	dine	line	din
leipzig	leipzig
leiten	direct
leiter	direct
leitlinie	direct
lektion	lection
lektor	lector
lektüre	lecture	lecturer
lemma	lemma
lemming	lemming
lende	lender	lend
lenken	link
lenkung	link
lenz	lent
leopard	leopard
lernen	learn
lernzeit	lente
lesbierin	lesbian
lesbisch	lesbian
lesen	lessen	les	lese
leser	lesser	lese	leer
leserlich	lese	lease
lesung	les
lethargie	lethargical
lette	let	letter	lets
leute	list	lister
lexikon	lexicon
liaison	liaison
liane	liana	lean
libelle	libel
liberal	liberal
liberalität	liberality
libyen	libya	libyan
libyer	libyan	libya
libysch	libyan	libya
lid	lid
lied	lied	lion	led
lief	lief	leef
liegen	lie
lies	lies	lie	lees
liest	list	lies
lift	lift
liga	lingua
lila	lilac	line
lilie	lily
lille	line
lima	lime	lima
limerick	limerick
limes	lime
limit	limit
limitation	limitation	limit
limitieren	limiting	limit
lind	ling	lindy	lint
linde	linden
lindern	linden
lineal	lineal	linear	lineally
linear	linear	lineal
linguistik	linguistics	linguistic
linguistisch	linguistic
linie	line	lin
linke	link
linken	link	linked
linnen	lin	linn
linz	lint
liquid	liquid
liquidation	liquidation
liquidator	liquidator
liquidieren	liquid
liquidität	liquidity	liquidness
lire	lir	lira
lisp	lisp	spe	spic
lispeln	lisp	lisper
list	list	lister	lists
listen	listen	listed	list
listig	listed	listing
litauen	lithuania
liter	liter	lister	lite
literat	liter
literatur	literature
lithium	lithic	lithium
lithographie	lithography
litt	lite	list
liturgie	liturgy
litze	list	litter
lizenz	licentia
lob	lob	lobe
lobby	lobby
loben	love	lobe
loch	loch
lochen	loch
locken	lock	locker
locker	locker
lockern	locker
lockerung	locker
lockig	locking
lockung	lock	locket	locking
lockvogel	locker
log	logic	lough	log
logarithmisch	logarithmic
logarithmus	logarithm
loggia	loggia
logieren	logy
logik	logic	logy	logicism
logiker	logic
logis	logic	logy
logisch	logic	logy
logo	logo
loire	loire	loir
lokal	local	locate
lokal	local	locate
lokalität	locality	local
lokomotive	locomotive
lombarde	lombard
lombardei	lombardy
london	london
lord	lord
lore	life	lore	lora
los	lose	loss	less
los	lose	loss	less
losen	lessen	losing	lose
lösung	las	las
lot	lot	loth
lotsen	lots
lotto	lotto
louvre	louvre
loyal	loyal	loyally
loyalität	loyalty
lud	lud
luder	lud
lug	lug	lough
luke	luce	luke
lümmel	lump
lumpen	lump	lumper	lumping
lumpig	lumping	lumpy	lumpish
lünen	lune
lunge	lung	lounge	linger
lungern	linger
lunte	lund	lint	lunate
lust	lust	list	lusty
lüste	lust	luster
lüstern	luster
lustig	lusty
lustlos	lustless
luxuriös	luxuriant	luxurious
luxus	luxury
lydien	lydian
lymphozyte	lymphocyte
lyrik	lyric
lyriker	lyric
lyrisch	lyric
ma	mac	mat	mate
mäandern	meander
maas	may
machen	maching
madagaskar	madagascar	madagascan
made	made	mad
madig	made
madonna	madonna
madrid	madrid
mafia	mafia
magazin	magazine
magen	magic
magenta	magenta
mager	maser
magie	magic	mage
magier	magic
magiker	magic
magisch	magic	magi
magister	magistery	magister
magnet	magnet	manet	magnetic
magnetisch	magnetic
mai	mai	may	mead
mail	mail	maine
maildrop	maildrop
main	main	maine	may
mainframe	mainframe
mais	mais	mace	maid
majestätisch	majestic
major	major	mayor
majorität	majority
makro	macro	macron	malto
makroskopisch	macroscopic
mal	mal	mate
mal	mal	mate
malaria	malaria
malaysia	malaysia
malen	mala
maler	mal	male	mala
mali	mali	mala	male
maliziös	malicious
malta	mala	malta
malus	malus
malve	malva
malz	malt
mama	mama	mam
mammon	mammon
mammut	mammut
man	man	mane
management	management
managen	manage	managed
manager	manager	manage	managed
manch	manche
manchester	manchester
mandarine	mandarin
mandat	mandate
mandoline	mandolin	mandoline
manege	manege
mangel	manger	mans	mange
mängel	manger	mans	mange
mangeln	manger
manhattan	manhattan
manie	mania	manner
manier	manner	mania
manierist	mannerist
manifest	manifest
manifestation	manifestation
manifestiert	manifest	manifested
manila	manila
manipulation	manipulation
manisch	maniac	man
mann	mann	man	men
mannequin	mannequin
männer	manner	mann
mannheim	mannheim
männlich	mannish	mannish
manntag	monday
mansarde	mansard
mantel	mantel
mäntel	mantel	mental
manual	manual	manually
manuell	manually	manual
manufaktur	manufacture	manufactured
manuskript	manuscript
maori	maori
märchen	march	marche
marder	man
margarine	margarin
marginal	marginal
marihuana	marijuana
marine	marine	marina	maria
marinieren	marine
mark	mark	marc
marketing	marketing
markieren	marking	mark	marker
markiert	marked	marking
markierung	marking
markt	market
märkte	market
markten	market	marketing
marktfähig	marketable
marne	maria
marokko	morocco
marquise	marquis
mars	mars	marsh	mart
marsala	marsala
marsch	marsh	marshal
marschall	marshall	marshal
märsche	marsh
marschieren	marsh
martern	marten	martyr
martialisch	martial
märtyrer	martyr
marxismus	marxist
märz	mart
masche	mask	mash	mac
maschine	machine	shine
maschinell	machine
maschinist	machinist	machine
maserung	mass	maser
maske	masque	mask	masker
maskieren	masking	mask
masochismus	masochism	masochist
maß	mass	ass
maß	mass	ass
massage	massage	sage
massaker	mastic
masse	mass	masse	masses
masseur	masseur	ser
massieren	mass	sing
massierung	massy
massig	mass	massy
massiv	massive
massiv	massive
mast	master	mast	mastic
mästen	master
matador	matador
material	materials	material
materialist	materialist
materialistisch	materialistic
materie	materia
materiell	material
mathematik	mathematics
mathematisch	mathematically
matinee	matinee
matrix	matrix
matrone	matron
matrose	matross
matsch	match	mac
matschig	maching
matt	mat	mate
matterhorn	matterhorn
mattiert	matted	mated
maturität	maturity
maul	maul
mauretanien	mauritania
maus	mus	mush
mäuse	meuse	meus
mauser	mauser	mouser
mausern	mauser
maximal	maximal
maxime	maxime	maxim	maximum
maximierung	maxim
maximum	maximum
maya	maw	maya	mayan
mechanik	mechanical
mechanisch	mechanical	mechanic
mechanismus	mechanics
mechanistisch	mechanistic
medaille	medal
medien	media	medium
medikament	medicament
meditation	meditation
meditativ	meditatively	meditation
medium	medic	medium	media
meer	merry	mean
meeting	meeting
megabit	megabit
megabyte	megabyte
megalith	megalith
mehl	meal	mealy
mehlig	mealy
mehr	mehr
mehren	mehr
mehrung	mehr
meiden	meiden	maiden	maid
meile	mail
mein	mein	main
meinen	mein	main
meinung	mein	main	men
mekong	mekong
melancholisch	melancholic
melden	meld
melodie	melody	melodic
melodiös	melodious
melodisch	melodic
melodramatisch	melodramatic
melone	melon
memel	meme
memoiren	memoir
memorandum	memorandum
memphis	memphis
menge	men	man
meniskus	meniscus
mensa	messy
mensch	mens
mentalität	mentality	mental
mentor	mentor
meriten	merit
merker	mercer
merkur	mercury
merlin	merlin
mesopotamien	mesopotamia
messer	meter
messina	messina
meßinstrument	instrument
messung	mess
metall	metal
metallisch	metallic
meteor	meteor
meteorologisch	meteorologic
meter	meter	scope
methode	method
methodik	methodology
methodisch	method
methodist	methodist
metier	meter
metrisch	metric	metrically
metz	met	meat
meute	mist	mister
meuterei	mister
meuterer	mister
meutern	mister
meutert	mister
mexikaner	mexican
mexikanisch	mexican
mexiko	mexico
mich	mich	my
mied	middy
mieder	midden
miene	mien	men
mienenspiel	expression
mieter	meter
mikrobe	microbe
mikroelektronik	microelectronics
mikroelektronisch	microelectronic
mikrofilm	microfilm
mikrometer	microscope	micrometer
mikroprozessor	microprocessor
mikroskop	microscopic
mikroskopisch	microscopic
milan	milan
milch	milk	milch
mild	mild
milieu	milieu
militant	militant
militär	military
militarist	militarist
miliz	militia
milliarde	milliard
milligramm	milligram
millimeter	millimeter
million	million
millionär	millionaire
milz	milt	melt
mime	mime	mimer
mimik	mimic
mimisch	mimic
mimose	mimosa
minarett	minaret
minden	minden	mind	midden
minder	mind	minded
mindern	minden
minderung	minds
mine	mine	min	miner
mineral	mineral
mineralöl	mineral
mini	mini	mine
minimal	minimal
minimierung	minim
minimum	minimum
minister	minister
ministrant	ministrant	ministration
minnesänger	minnesinger
minoisch	mini
minus	minus	mine	minute
minute	minute
mir	mir	mire	mer
misanthrope	misanthrope
misere	miser	miss	misere
mismanagement	mismanagement
missen	miss
missionieren	mission
mist	mist	mister	misty
misten	misty	mist	mister
mistral	mistral
mit	mit	mite	mid
mitglied	mit	mist	dit
mitte	mitt	mit	mite
mitteln	miter
mitten	mitten	mitt
mittig	mite
mix	mix
mixen	mix	mixed	mixen
mixer	mixer	mixed
mob	mob
mobil	mobile
mobilität	mobility
modalität	modality	modal
mode	mode	mod	modes
modell	model
modem	modem
moderation	moderatio
moderator	moderator
modern	modern
modern	modern
modernität	modernity
modifikation	modification
modifizieren	modification
modifiziert	modified
modifizierung	modification
modisch	mod
modul	module
modula	module
modular	modular
modulation	modulation
modulieren	module
modulo	module
mohikaner	mohican
mole	mole	moles
molekül	molecule
molekular	molecular
moll	molly	moll
mollig	molly
mombasa	mombasa
moment	moment
momentan	momentaneous
monaco	monaco
monarch	monarch
monarchie	monarch
monarchist	monarchist
mond	monde	mont
monegassisch	monegasque
monetär	money
mongole	mongol
mongolei	mongolia
monitor	monitory	monitor
monogramm	monogram
monolog	monologue
monomanie	monomania
monopol	monopoly
monopolist	monopolist
monopoly	monopoly
monoton	monotonic
monotonie	monotonic
monotype	monotype
monster	monster
monströs	monstrous
mont	mont	monte	month
montag	monday
montenegro	montenegro
montieren	mont
monumental	monumental
moor	moor	moore
moorig	moorish	moore	mooring
moos	moss	moose
moped	moped
mops	mop
moral	moral	morals
moralist	moralist
moräne	moraine
morbidität	morbidity
mord	ing
mörder	murder
mörderisch	murder
mordet	murder
morgen	morgen
mormone	mormon
morphologisch	morphologically
morsch	morse	marsh	mori
mosaik	mosaic
moskito	mosquito
moslem	moslem
moslemisch	moslem
most	most
mosten	most
motel	motel	mote
motiv	motive	motory
motivation	motivation
motivieren	motive
motivierung	motive
motor	motor	motory
motorisch	motory
motte	mot	mote	motte
motzen	motte
möwe	mew	mew
müde	mud
müder	mud	mudra
muffe	muff
müll	mill
müller	miller	mill	milled
multi	multi
multinational	multinational
multiplikator	multiplicator	multiplier
mumm	mum
münchen	munch
mund	mung
münden	minden	mind
münder	mind
münster	minster
münze	mince
münzer	mincer
murmeln	murmur
muschel	mussel
muse	music	muse	mus
museum	museum
musical	musical
musik	music	musics
musiker	music
musikus	music	musics
musisch	music	musical
musizieren	mussy
muskel	musca	muscle
muslim	muslim
musselin	mussel
müssen	mussy
mustang	mustang
muster	muster
mustern	muster
mut	mut	mat	math
mutant	mutant
mutation	mutation
muten	mut	mute
mutig	mutely
mutter	mutter	muster	matter
mütter	mother	mutter
mütterlich	motherly
mütze	mot	mut	motte
myriade	myriad
mysteriös	mysterious
mysterium	mystery
mystik	mystic	mystique
mystiker	mystic
mystisch	mystic
mythisch	mythic
mythologie	mythology
nabel	native	navel
nachname	name	names	nam
nachnamen	name	nam	names
nacht	night
nachts	nights	night
nacken	nock
nagasaki	nagasaki
nagel	nail	nails	nager
nageln	nager
nagen	nag	nager
nagt	nation
naiv	naively	naive
name	name	names	nam
namen	name	nam	names
namenlos	nameless
namens	names
namibia	namibia
nannte	nanny
napf	nap
narkotika	narcotic
narkotikum	narcotic
narretei	narrate
nase	nose	nos
naß	nag	nag	nag
nassau	nassau
nässe	ness	nest
nation	nation	nations
national	nationality
nationalismus	nationalism	nationalist
nationalist	nationalist
nationalität	nationality	nationalism
natrium	nitric
natur	nature	natura
naturalistisch	naturalistic
navigation	navigation
nazi	nazi
nebel	never
neben	neve
neblig	noble
nebraska	nebraska
neckar	neckar
necken	neck	nick
neffe	niff
negation	negativeness
negativ	negative	negatively
neger	nigger
neglige	neglige
nektar	nectar	nectary
neon	neon	neo
nepal	nepal
nepalesisch	nepali
nerv	nerve	nerves
nerven	nerve	nerves
nervös	nerves	nervous	nervos
nester	nest
nett	net
netz	net	neat
netzadapter	adapter
neu	re	nee
neufundland	newfoundland
neulich	rely	relic
neuorganisation	reorganization
neuralgisch	neuralgic
neurotisch	neurotic	neurotically
neutral	neutral
neutralist	neutralist
neutron	neutron
nevada	nevada	nevadan
nicaragua	nicaragua
nicht	nicht	nest
nichte	nicht
nickel	nickel
nicken	nick
nie	nee	ny
niederung	needs
niere	neer
niesen	sneeze
niest	sneer
niger	niger
nigeria	nigeria
nigerianer	nigerian
nihilist	nihilist
nikaragua	nicaragua
nil	nil	nine	nile
nimbus	nimbus
nippel	nipple
nippen	nip	nipple
nische	niche
nobel	noble	novel
nocken	nock
nomade	nomad
nominal	nominal
nominell	nomine	nominal
nominieren	nomine
nominierung	nomine
nonkonformismus	nonconformity
nonne	non	noon	nona
norden	nord
nordisch	nordic
norm	normal	norm	norma
normal	normal	norman	normality
normalerweise	normally	normally
normalität	normality	normal
normalzustand	normalcy
normanne	norman	normand
normannisch	normand
normativ	normal
normieren	norm
normierung	norm
not	not	note	notion
nota	note	nota	not
notar	notary	not
notation	notation	notion
nöte	net
notieren	notify	not	note
notiz	notice
nougat	nougat
nova	nova
novellist	novelist
november	november
novum	novo	novus
nuance	nuance	nuances
nudel	nude
nuklear	nuclear
null	null	hull
numerik	numeric
numerisch	numeric
nummer	hummer
nummerisch	numeric
nummern	hummer
nun	hun	hung	nun
nuß	hug
nut	nut	nude	hut
nylon	nylon	nylons
nymphe	nymph
oase	oasis
ob	ob	cob
obduktion	obduction
obelisk	obelisk
ober	over	cover	ob
ober	over	cover	ob
objekt	object	subject
objektiv	subjective	objective
objektivismus	subjectivity
objektivität	subjectivity	subjectiveness	objectiveness
oblate	oblate
obligation	obligation
oboe	oboe
observanz	observance	observation
obskur	obscure
obsolet	obsolete
obszönität	obscenity
ocker	cocker
öd	ed	eddy
ode	code	ode	od
odem	codem
oder	oder	od	code
odessa	odessa
odium	odium
odyssee	odyssey
ofen	of	open
offen	off
offensiv	offensive
offerieren	offer	offering
offerte	offer
offiziell	officially
offizier	office
offiziös	officious
offset	offset
offset	offset
oft	oft	often	ope
ohio	ohio
ohm	ohm	ohmic
ohne	ohne
ohr	ear	ears
okkultismus	occultist
okkupant	occupant
okkupation	occupation
ökologie	ecology	ecological
ökonometrisch	econometric
ökonomie	economy	economical	economics
ökonomisch	economically
ökosystem	ecosystem
oktan	octane	octant
oktav	octave
oktober	october
okular	ocular
ökumene	ecumenic
ökumenisch	ecumenic
öl	el
oligarchie	oligarch
oligarchisch	oligarchic
olive	olive	oliver
olymp	olympus	olympic
olympia	olympia
olympiade	olympiad
olympisch	olympic
oma	coma	om
ombudsmann	ombudsman
omen	omen	om
ominös	ominous
omnibus	omnibus	omnib
ontologie	ontology
opa	cop
oper	opera	open
operand	operand
operation	operation	operations
operational	operational
operationell	operationally	operational
operativ	operatively	operational	operative
operator	operator
opfer	offer	copper	offers
opfern	offer	offers
opferung	coppery	offer
opium	opium
opponent	opponent
opponieren	oppose
opportun	opportune
opportunismus	opportunity
opportunist	opportunist
opposition	opposition
optiker	optic
optimismus	optimism	optimist
optimist	optimist	optimistic
optimistisch	optimistic
optimum	optimum
option	option
optisch	optic
opulent	opulent
opus	opus	ope	cope
orange	orange	oran
oratorium	oratory
orchidee	orchid
orden	cord	order
order	order	orders	cord
ordern	order	orders
ordinär	ordinary
oregon	oregon
organ	organ	organic
organisch	organic	organ
organismen	organism
organismus	organization
orgel	orgy
orgiastisch	orgiastic
orgie	orgy
orient	orient	orientation
orientieren	orienting	orient
orientierung	orienting	orient	orientation
original	original	originate
originär	original
originell	original
orlando	orlando
orleans	orleans
ornament	ornament
orthodox	orthodox	orthodoxy
orthographie	orthograph
orthopädie	orthopedic
orthopädisch	orthopedic
öse	essen	es
oslo	oslo
osmotisch	osmotic	osmotically
oszillator	oscillator
oszillogramm	oscillogram	oscillograph
oszillograph	oscillograph
oszillographieren	oscillograph
otter	otter	other	cotter
oval	oval	ovate
ovation	ovation
overkill	overkill
oxford	oxford
oxyd	oxide
ozean	ocean
paar	pair	pairs
paare	pair
paaren	pair	paired
paart	pair	dairy
paarung	pair	dairy
packen	pack	packed
packer	packer	packed
packerei	packer
packung	packet	pack	packing
pädagoge	pedagogue
paddeln	paddle
paffen	puff	puffed	puffin
page	page
pakistan	pakistan
pakt	pact	paction
palästina	palestine
palaver	palaver
palermo	palermo
palette	pallet	palette
palisade	palisade
palme	palmer	palm
pamphlet	pamphlet
panieren	pan
panik	panic
panisch	panic	pan	pani
panne	pan
panoptikum	panoptic
panorama	panorama
panther	panther
pantomime	pantomime
pantomimisch	pantomimic
panzer	dancer
papa	papa	pap	pop
paperback	paperback
papier	paper	papers
papiern	papers	paper
paprika	paprika
papyrus	papyrus
parabel	parable
parabolisch	parabolic
parade	parade
