a	um
instinctively	instinktiv
instincts	instinkt
institute	institut
instituting	institution
institution	institution
institutionalization	institutionalisierung
institutionalizing	institutionalisierung
institutions	institution
institutor	institution
instructed	instruktiv
instructing	instruktion	konstruktion
instruction	instruktion	konstruktion
instructional	instruktion	konstruktion
instructions	instruktion	konstruktion
instructive	instruktiv
instructs	instruktion	konstruktion
instrument	instrument
instrumental	instrumental
instrumentalist	instrumentalist
instrumenting	instrument
instruments	instrument
insulin	insulin
insulins	insulin
intact	intakt	kontakt
integral	integral
integrally	integral
integrals	integral
integrating	integration
integration	integration
integrationist	integration
integrations	integration
integrator	integration
integrities	integrität
integrity	integrität
intellect	intellekt
intellects	intellekt
intellectual	intellektuell
intellectually	intellektuell
intelligent	intelligent
intelligently	intelligent
intenseness	intensität
intensify	internieren
intensities	intensität
intensity	intensität
intensive	intensiv
intensively	intensiv
intention	intention
intentions	intention
inter	intern	unter
interacted	interaktiv
interaction	interaktion
interactions	interaktion
interactive	interaktiv
interactively	interaktiv
interacts	interaktion
interdependence	interdependenz
interdependency	interdependenz
interest	interesse
interested	interessiert
interesting	interessant
interface	interface
interfaces	interface
interfere	interferieren
interferes	interferieren
interfering	interferieren
interim	interim
interiorly	intern
intern	intern
internal	intern
international	international
internationalism	internationalismus
internationalizing	internationalisierung
internationally	international
internee	internieren
internees	internieren
interning	internieren
internist	intern
interns	intern
interpol	interpol
interpret	interpret
interpretable	interpretativ
interpretation	interpretation
interpretations	interpretation
interpretative	interpretativ
interpretatively	interpretativ
interpreter	interpretierer	interpreter
interpretive	interpretativ
interprets	interpret
inters	intern
interval	intervall
intervention	intervention
interventions	intervention
interview	interview
interviewer	interviewer
interviewers	interviewer
intimate	intim
into	konto
intolerance	intoleranz
intolerant	intolerant	intoleranz
intr	intern
intransitive	intransitiv
intransitively	intransitiv
intravenous	intravenös
intrigue	intrige
intrust	entrüsten
intrusted	entrüsten
intrusts	entrüsten
intuition	intuition
intuitions	intuition
intuitive	intuitiv
intuitively	intuitiv
inturn	intern
invalid	invalide
invalidism	invalide	invalidität
invalidity	invalidität
invalidness	invalidität
invalids	invalide
invariant	invariant
invasion	invasion
invasions	invasion
invention	konvention
inventions	konvention
inverse	invers
inverting	invertierung
invertor	investor
invertors	investor
investiture	investitur	investition
investor	investor
investors	investor
involve	involvieren
involves	involvieren
ion	ion
ionic	ion
ionium	ion
ionization	ionisation
ionizations	ionisation
ions	ion
iota	rute
ira	ire
iran	iran	iranisch	irisch
iranian	iranisch
iraqi	irakisch
ire	irren	ire
ired	irren
ireland	irland
irene	irren
irenic	irren	iranisch
ires	ire
iris	ire
irised	irisch
irises	ire
irish	irisch
irishman	irisch
ironed	ironie
ironic	ironisch
ironical	ironisch
ironically	ironisch	iranisch
ironies	ironie
ironist	ironiker
irony	ironie
irrational	irrational
irrationally	irrational
irreal	irreal	areal
irregular	irregulär
irregularly	irregulär
irregulars	irregulär
irrelevance	irrelevanz
irrelevances	irrelevanz
irrelevancies	irrelevanz
irrelevancy	irrelevanz	irrelevant
irrelevant	irrelevant
irrelevantly	irrelevant
irreligious	irreligiös
irreparable	irreparabel
irritate	irritieren
irritation	irritation
irritations	irritation
is	eis	eisen
islam	islam
islamic	islamisch
island	island
isolationism	isolationismus
isolationist	isolationist
isolationists	isolationist
isolator	isolator
isolators	isolator
isometric	isometrisch
isometrical	isometrisch
isometrically	isometrisch
isometry	isometrisch
isomorph	isomorphie
isomorphism	isomorphismus	isomorphie
isopropanol	isopropanol
israel	israel
israeli	israelisch	israeli
istanbul	istanbul
italian	italien
italians	italien
italics	italien
iterant	iterativ
iterated	iterativ
iterating	iteration
iteration	iteration
iterations	iteration
iterative	iterativ
izar	isar
jack	jacke
jacker	jacke
jacket	jacke	jackett
jacking	jacke
jade	baden
jaded	baden
jades	baden
jadish	badisch
jag	jagen
jagger	bagger
jaggers	bagger
jaggery	bagger
jaguar	jaguar
jaguars	jaguar
jam	ja
jamaica	jamaica
jamaican	jamaica
jammed	jammert	jammer
jammer	jammer	jammern	jammert
jammers	jammer	jammern
janeiro	janeiro
january	januar
japan	japan	japaner	japanisch
japanese	japaner
japanner	japaner
japanners	japaner
japans	japan
jar	bar
jargon	jargon
jargoning	jargon
jargons	jargon
jato	bat
jatos	bat
jazz	jazz
jeans	jeans
jeep	jeep
jerseys	jersey
jerusalem	jerusalem
jesuit	jesuit
jesuitic	jesuit
jesuitical	jesuit
jesuits	jesuit
jet	jet	jetten
jets	jet	jetten
jetted	jetten
jetting	jetten
jetty	jetten
job	job
jobbed	jobben
johannesburg	johannisburg
joke	joker	joch
joked	joker
joker	joker
jokers	joker
jokes	joker
jongleur	jongleur
jongleurs	jongleur
jordan	jordan	jordanisch
jordanian	jordanisch
jordanians	jordanien
jordans	jordan
jota	jota
journal	journal
journalese	journalist
journalism	journalismus
journalist	journalist
journalistic	journalistisch
journalistically	journalistisch
journalists	journalist
journalize	journalist
journals	journal
joystick	joystick
jubilate	jubilar
jubilating	jubilation
jubilation	jubilation
jubilations	jubilation
jubilee	jubiläum
judice	jude
judo	judo	jude
judy	jude
july	juli
jumped	jumper
jumper	jumper
jumpers	jumper
junco	junker	bank
june	juni
junior	junior
juniors	junior
junk	jung	bank
junked	junker
junker	junker
junkers	junker
junking	junker
jupe	jupe
jupiter	jupiter
jure	jura
jurist	jurist	juristisch
juristic	juristisch
juristically	juristisch
jurists	jurist
juror	juror
jurors	juror
juryman	jurist
just	just
justice	justiz
justices	justiz
justify	justieren	justieren
justing	justierung
justly	just
justs	just
jut	jute
jute	jute
jutes	jute
juts	jute
jutty	schutt
kabala	kabel
kabalas	kabel
kadish	kader
kaiser	kaiser
kaisers	kaiser
kalif	kalif
kalium	kalium
kame	kammer	kam
kansas	kansas
kappa	kappe
kaput	kaputt
kaputt	kaputt
karat	karat
karate	karat
karats	karat
karen	karren
kart	karte
karts	karte
kashmir	kaschmir
kashmirs	kaschmir
keats	ketten
keel	kiel
keeled	kieler
keeler	kieler
keels	kiel
keeper	kiefer
keepers	kiefer
kegler	kegler	segler
keglers	kegler	segler
kelts	kelten
kelvin	kelvin
kelvins	kelvin
kempt	kempten
ken	kern
kendo	sender
kenned	kennen	kenner
kenning	kennen	kennung
kennings	kennung
kenny	kennen	kenner
keno	kino
kens	kern
kent	kent
kerbed	kerben
kern	kern	kernen
kerned	kernen
kerning	kern	kernen
kerns	kern	kernen
kerosene	kerosin
kerosine	kerosin
ketchup	ketchup
kettle	ketten
kick	kicken
kicked	kicken
kicker	kicken
kicking	kicken
kid	kit
kiddy	kind
kidnap	kidnappen
kidnaped	kidnappen
kidnaper	kidnappen
kidnaping	kidnappen
kidnapped	kidnappen
kids	kies
kiev	kiew
kill	killer	killen
killed	killer	killen
killer	killer	keller
killers	killer
kills	killen
kilo	kilo
kilogram	kilogramm	kilo
kilometer	kilometer
kilometers	kilometer
kilowatt	kilowatt
kilowatts	kilowatt
kin	kino
kind	kind
kindly	kindlich
kinematic	kinematisch
kinematical	kinematisch
kinematically	kinematisch
kines	kies
kinesics	kinetik
kinetic	kinetik
kinetics	kinetik
king	kind
kiosk	kiosk
kip	kippen
kirk	kirche
kirsch	kirsche
kirsches	kirsche
kiss	kissen
kissed	kissen
kisser	kissen
kisses	kissen
kissing	kissen
kist	kiste
kit	kit	kitt	kitten
kitchen	kochen
kitchens	kochen
kite	kit	kitten
kites	kitten
kith	kit	kitt
kiting	kit
kits	kitten	kit
kitsch	kitsch
kitschy	kitsch
kitted	kitten
kitten	kitten	ketten	kitt
kittening	kitten	ketten
kittens	kitten	ketten
kitting	kitten
kitty	kitt	kitten
klanism	klinik
klans	klang
klatch	klatsch	klatschen
klatches	klatschen
klatsch	klatsch	klatschen
klatsches	klatschen
kleptomaniac	kleptomanisch
knack	knacken
knacks	knacks	knacks
knapping	knapp
knapsack	rucksack
knave	knabe
knavery	knabe
knaves	knabe
knee	knie	knien
kneed	knien
knees	knie
knew	kiew
knickerbockers	knickerbocker
knocks	knacks
knoll	knolle
knolls	knolle
knot	knoten
knots	knoten
knotted	knoten
knotter	knoten
knottily	knotig
knottiness	knoten
knotting	knoten
knotty	knoten
knucks	knicks
kobold	kobold
kohl	kohl	kohle
kohls	kohl	kohle
koran	koran
korea	korea
korean	koreanisch	korea	korn
koruna	korona
korunas	korona
koto	kot
kotos	kot	rot
kraft	kraft	kracht
krafts	kraft
kraut	kraut
krauts	kraut
krebs	krebs
kreutzer	kreuzer
kreuzers	kreuzer
kris	krise
krises	krise
krona	krone
krone	krone
kronen	krone
kroner	krone
kuchen	kuchen
kuchens	kuchen
kultur	kultur
kulturs	kultur
kung	kund
kuwait	kuwait
kyoto	kyoto
lab	labor
label	labil
labels	labil
labile	labil
labor	labor
laboratory	laboratorium
labored	labor
laboring	labor
laborious	labor
labors	labor
labour	labor
laboured	labor
labouring	labor
labours	labor
labrador	labrador
labyrinth	labyrinth
lace	laken
laced	laken
lack	lacke	lackieren
lacking	lackierung
laconic	lakonisch
laconically	lakonisch
lad	laden
ladanum	laden
lade	laden
laded	laden
laden	laden
ladens	laden
lader	laden	leder
laders	leder
lades	laden
lading	laden
ladle	laden
ladron	leder
lads	laden
lady	laden
lag	lag	lage
lager	lager	lagern	lage
lagers	lager	lagern
lagoon	lagune
lagoons	lagune
lags	lag
laguna	lagune
laid	leiden
lait	leiter
lake	laken
laked	laken
laker	laken
lakes	laken
laking	laken
lam	lamm	lama
lama	lama	lamm
lamaism	lama
lamas	lama
lamb	lamm
lamella	lamelle
lamellae	lamelle
lament	lamentieren
lamenting	lamentieren
lamp	lampe
lance	lanze
lancer	lanze
lancers	länder
lances	lanze
lancet	lanze
lancinate	lancieren
land	land	landen	länder
landau	landau	lindau
landed	landen	länder
lander	länder	landen
landers	länder
landing	landen
lands	landen
landscape	landschaft
landscaped	landschaft
landscaper	landschaft
langur	langen
lank	lang
laos	laos
laotian	laotisch
lap	lappen
lapidaries	lapidar
lapidary	lapidar
lapp	lappen
lapped	lappen
lapper	lappen
lapping	lappen
larch	lerche
larches	lerche
large	langen
largeness	langen
larger	langen
larges	langen
larva	larve
larvae	larve	larve
laser	lager
laserdisk	laserdisk
lases	laden
lash	lasche	las
lashed	lasten
lasher	lasche
lashes	lasche
lass	lassen	las
lasses	lassen
lasso	lasso
lassoes	lasso
lassoing	lasso
lassos	lassen
last	last	lasten	laster
lasted	lasten	laster
laster	laster	lasten	last
lasters	laster
lasting	lasten	last	laster
lastly	last
lasts	last	lasten	listen
latched	latschen
latches	latschen
late	latte
lately	latte
laten	laden
latency	latent
latens	laden
latent	latent
latently	latent
latents	latent
latex	latex
latexes	latex
lathe	latte
lathery	latte
lathes	latte
latten	latte
latter	latte
laud	laut
laude	laut
laughed	laugen
laura	lauer
lava	lava
lavas	lava
lay	lag	laie
layer	lager	lagern
layered	lager
layering	lager
layers	lager
layout	layout
layouts	layout
lazaret	lazarett
lazarette	lazarett
lazaretto	lazarett
lazarettos	lazarett
lead	led
leader	leder
leaders	leder
leafy	leeren
lean	leer
lear	leer
leary	leer
lease	leasen
leaser	leser
leasers	leser
leases	lesen
leasing	leasing
leasings	leasing
least	last	lasten
leasts	last	lasten
lebanese	leben
lebanon	lebens
lectern	lektor
lections	lektion
lector	lektor
lectors	lektor
lecture	lektüre
lectures	lektüre
led	leder	led	läden
lee	leer
leer	leer	leser	leeren
leered	leeren	leer	leser
leeriness	leeren
leers	leer	leser
leery	leer	leser
lees	lies	leeren
leg	legen
legal	legal
legality	legal
legalization	legalisierung
legalize	legalisieren
legalizes	legalisieren
legalizing	legalisierung
legally	legal
legals	legal
legate	legal
legation	legion
legendary	legendär
leger	leger	legen
legion	legion	legen
legionaries	legionär
legionary	legionär
legionnaire	legionär
legions	legion	legen
legislated	legislativ
legislative	legislativ
legislatively	legislativ
legitimacy	legitimität
legitimation	legitimation
legitimize	legitimieren
leipzig	leipzig
leis	leise
leister	leiter
leisure	leiser
leisured	leiser
leitmotif	leitmotiv
lemma	lemma
lemmas	lemma
lemming	lemming
lemmings	lemming
lemonade	limonade
lemonades	limonade
lend	lende	länder
lender	länder
lenders	länder
lends	lende
leningrad	leningrad
leninism	linie
lenity	linie
lenses	linse
leopard	leopard
leprosy	lepra
lesbian	lesbisch
lese	leser	lesen
lesion	lesen
lesions	lesens
less	los
lessen	lesen	losen
lessening	lesen
lessens	lesens	lesen
lesser	leser
lest	listen	list
let	lette
lethargies	lethargie
lethargy	lethargie
lethe	lette
lethes	lette
lets	lette
letter	lette
leu	heu
lever	leber
levered	leber
levering	leber
levers	leber
lex	hexen
lexical	lexikalisch
lexicon	lexikon
lexicons	lexikon
ley	leer
liaison	liaison
liaisons	liaison
liana	liane
lianes	liane	lies
libel	libelle
libellee	libelle
libeller	libelle
liberal	liberal
liberalities	liberalität
liberality	liberalität	liberal
liberalize	liberalisieren
liberalizes	liberalisieren
liberalizing	liberalisierung	liberalisieren
liberally	liberal
liberals	liberal
liberate	liberal
libya	libyer
licence	lizenz
licencees	lizenzieren
licht	licht	lichten
lichting	licht	lichten
lick	lecken
licked	lecken
licker	lecker
lickers	lecker
licking	lecken
lid	lid
lids	lies	leiden
lie	liegen	lies
liechtenstein	liechtenstein	liechtensteiner
lied	lied
lief	lief
liefer	liefern
liege	liegen
lieges	liegen
lies	lies
lieut	leute
lieutenancy	leutnant
lieutenant	leutnant
lieutenants	leutnant
life	lore
lift	lift
lifter	lift
lifts	lift
ligate	liga
liger	lager
lilac	lila
lilies	lilie
lily	lilie
lim	lima
lima	lima	limit
limas	lima	limit
limerick	limerick
limes	limes
limit	limit
limitation	limitation
limitations	limitation
limiter	limit
limiting	limit
limits	limit
limy	lima
linda	linde	lende
linden	linde
lindy	lind	linde
line	linie
lineable	lineal
lineal	lineal	linear
lineally	lineal
linear	linear
linearly	linear
lineate	linear
lined	linie
linefeed	linefeed
lingam	liga
lingas	liga
lingua	liga
linguist	linguistisch
linguistic	linguistisch	linguistik
linguistically	linguistisch
linguistics	linguistik
linier	linie
lining	linie
link	linke	linken
linked	linken
linker	linke
linking	linke
links	links
linnet	linie
lins	linse
liny	linie
lipper	lippe
liquid	liquid
liquidation	liquidation
liquidations	liquidation
liquidator	liquidator
liquidators	liquidator
liquidities	liquidität
liquidity	liquidität
liquidize	liquidieren
liquidizes	liquidieren
lira	lire
lire	lire
lisp	lisp
lisped	listen
lisper	listen
lisping	lisp
lisps	listen
list	listen	list
listed	listen
listen	listen	list
listening	listen
listens	listen
lister	listen
listing	listen	list
listings	listig
lists	listen	list
lit	litt	liter
lite	liter	litt
liter	liter	leiter
literacy	literatur	literat
literary	literarisch
literate	literat
literately	literat
literature	literatur
liters	liter	leiter
lither	liter
lithium	lithium
lithograph	lithographie
lithographing	lithographie
lithography	lithographie
litre	liter	leiter
litten	litt
litter	litt
liturgic	liturgisch
liturgical	liturgisch
liturgically	liturgisch
liturgies	liturgie
liturgy	liturgie	liturgisch
liven	leben
livens	lebens
liver	leber
livered	leber
liveries	leber
livers	leber
livery	leber
llama	lama
lob	lob
lobbyer	lobby
lobbyist	lobbyist
lobbyists	lobbyist
lobe	loben	lob
lobed	loben
lobes	loben
loc	loch
local	lokal
locale	lokal
locales	lokal
localities	lokalität
locality	lokalität	lokal
localize	lokalisieren
localizes	lokalisieren
locally	lokal
locals	lokal
locate	lokal
locator	lokal
loch	loch	lochen
lochs	lachs	lochen
lock	locken
locked	locken	locker
locker	locker	lockern	locken
lockers	locker	lockern
locking	locken
locomotive	lokomotive
locomotives	lokomotive
log	log
logarithm	logarithmus
logarithmic	logarithmisch
logarithmical	logarithmisch
loge	log
loges	logis
logged	loggen
logger	loggen
loggia	loggia
loggias	loggia
logging	loggen
logic	logisch	logik
logical	logisch
logically	logisch
logician	logiker	logisch
logics	logik
logier	logieren
logistics	logistik
logo	logo
logogram	logo
logotype	logo
logs	log
logway	log	lag	log
logy	logisch	logik
loiter	liter
loitered	liter
loiters	liter
london	london
lord	lord
lore	lore
lores	lore
loris	lore
lorises	lore
lorn	lore
lory	lore
lose	los	losen
loser	losen
loses	losen
losing	losen
loss	los
lost	lot
lot	lot
loth	lot
lotion	lot
lotos	lot
lots	lot
lotto	lotto
lotus	lot
lough	log	lug
lounges	lunge
loungy	lunge
lour	lore
loury	lore
louse	los	losen
loused	losen
lousily	lustig	lausig
lousy	lust
lout	laut
loyal	loyal
loyally	loyal
loyalty	loyalität
luces	luke
lucrative	lukrativ
lucratively	lukrativ
lug	lug
luge	lug
lugs	lug
luke	luke
lump	lumpen
lumped	lumpen
lumpen	lumpen
lumpens	lumpen
lumper	lumpen
lumpily	lumpig
lumpiness	lumpen
lumping	lumpen
luna	lünen
lune	lünen
lunes	lünen
lung	lunge
lunge	lunge	langen
lungee	lunge
lunger	lungern
lungers	lungern
lunges	lunge
lunging	lunge	langen
luny	lunte
lurch	lerche
lurches	lerche
lush	lust
lust	lust
lusted	lustig
luster	lust
lustily	lustig
lustiness	lust
lusting	lustig	lust
lusts	lust
lusty	lustig	lust
luxembourg	luxemburg
luxurious	luxuriös
luxury	luxus
lyceum	lyzeum
lyes	lies
lymphocyte	lymphozyte
lymphocytes	lymphozyte
lyric	lyrisch	lyrik
lyrical	lyrisch
lyrically	lyrisch
lyricism	lyrik
lyricist	lyriker	lyrisch
lyrics	lyrik
lyrism	lyrik	lyrisch
lyrist	lyriker
ma	ma	mine
mac	masche	matsch
mace	masse
mach	machen	masche	macher
machine	maschine
machineries	maschinerie
machinery	maschinerie
machinist	maschinist
machinists	maschinist
macho	macher	masche
machos	machen
machs	masche
mack	macke
macle	makler	makel
macro	makro
macroscopic	makroskopisch
macroscopical	makroskopisch
macroscopically	makroskopisch
macs	magie
macula	makel
mad	made
madagascar	madagaskar
made	made
madonna	madonna
madonnas	madonna
madrid	madrid
madrone	matrone
madrones	matrone
mads	made
maffia	mafia
maffias	mafia
mafia	mafia
mafias	mafia
mafioso	mafioso
mag	magen
magazine	magazin
mage	magen	mager
magenta	magenta
magentas	magenta
mages	magen
magi	magisch
magic	magisch	magie
magical	magisch
magically	magisch
magics	magie
magister	magister
magisters	magister
magistery	magister
magistracy	magistrat
magistrate	magistrat
magnesia	magnesium
magnesic	magnetisch	magnetik
magnesium	magnesium
magnet	magnet
magnetic	magnetisch	magnetik
magnetically	magnetisch
magnetics	magnetik	magnetismus
magnetism	magnetismus	magnetik	magnetisch
magneto	magnet
magneton	magnet
magnetos	magnet
magnets	magnet
magnolia	magnolie
magnolias	magnolie
maid	mais	main
maiden	meiden
maidens	meiden
maids	meiden
mail	mail	email
mailing	mail
mails	mail
main	main
maine	main	mail
mainframe	mainframe
mainframes	mainframe
mains	main	mais
maist	main
majestic	majestätisch
majestical	majestätisch
majestically	majestätisch
major	major
majora	major
majored	major
majoring	major
majorities	majorität
majority	majorität
majors	major
mal	mal	maler
mala	mal	malen
malaria	malaria
malarias	malaria
malarious	maler
malaysia	malaysia
male	malen	maler	mal
maleness	malen
males	malen	mal
mali	mali
maline	malen
malines	mine
mall	mal
mallard	maler
malled	malen
malt	malz
malta	malta
mama	mama
mamas	mama
mammon	mammon
mammons	mammon
mammoth	mammut
man	man	mann
manage	manager	managen
managed	manager
management	management
managemental	management
managements	management
manager	manager
managers	manager
manages	manager	managen
managing	management	manager
manana	banane
manas	man
manchester	manchester
mandala	mandel
mandarin	mandarine
mandarins	mandarine
mandate	mandat
mandolin	mandoline
mandolinist	mandoline
mandolins	mandoline
mane	man	manie
maned	manier	manie
manege	manege
manful	banal
manganese	mangan
manganous	mangan
mange	mengen
mangels	mangel	mangels	mängel
manges	mengen
mangily	mangel	mängel
mangle	mangel	mangeln	mängel
mangling	mangel	mangeln
manhattan	manhattan
manhattans	manhattan
mania	manie	man
maniac	manisch
maniacal	manisch
maniacally	manisch
manias	manie
manic	manisch	man
manically	manisch
manics	manie
manifest	manifest
manifestation	manifestation
manifested	manifestiert
manifestly	manifest
manifestos	manifest
manifests	manifest
manila	manila	mail
manilas	mail	manila
manipulating	manipulation
manipulation	manipulation
manipulations	manipulation
manna	mann
mannas	mann
manned	männer
mannequin	mannequin
mannequins	mannequin
manner	männer
mannered	männer
mannerly	männer
manners	männer
manning	mann
mans	man
manta	mantel
mantel	mantel	mandel	mäntel
mantels	mantel	mandel	mäntel
mantissa	masse
mantle	mantel
mantling	mantel
manual	manual	manuell
manually	manuell	manual
manuals	manual
manufactory	manufaktur
manufacture	manufaktur
manufactured	manufaktur
manuscript	manuskript
manuscripts	manuskript
many	manie	man
maori	maori
mapper	mappe
marc	mark
marched	märchen
marches	märchen
marcs	mark
margarine	margarine
margarins	margarine
marge	marge
marges	marge	morgen
marginal	marginal
marginalia	marginalie
marginally	marginal	marginalie
maria	marine
marihuana	marihuana
marijuana	marihuana
marina	marine
marinated	mariniert
marine	marine
mariner	marine
marines	marine
marionette	marionette
marionettes	marionette
maritime	maritim
mark	mark
marked	markiert
market	markt
marketing	marketing
marketings	marketing
markets	markt
marmalade	marmelade
marmalades	marmelade
marquis	marquise
marquise	marquise
marquises	marquise
mars	mars
marse	mars	marsch
marseille	marseille
marseilles	marseille
marses	masse
marsh	marsch	mars
marshal	marschall
marshall	marschall
marshalls	marschall
marshes	märsche
marshs	märsche
marshy	marsch
marxian	marxistisch
marxism	marxismus	marxistisch
marxist	marxistisch
marzipan	marzipan
marzipans	marzipan
mas	ma
mascon	maske
masculine	maskulin
maser	mager
mash	masche
masher	masche
mashes	masche
mask	maske	masche
masker	maske
masking	maske
masochism	masochismus
masque	maske
masques	maske
mass	masse
massa	masse
massacre	massaker
massage	massage
massager	massage
massages	massage
massaging	massage
massagist	massage
masse	masse	massieren
massed	massiv
masses	masse
masseur	masseur
masseurs	masseur
masseuse	masseur	masseuse
masseuses	masseuse
massif	massiv
massing	massierung
massive	massiv
massively	massiv
massy	masse
mast	mast	masse
mastic	mast
masts	mast
mat	matt
matador	matador
matadors	matador
match	matsch
matcher	matsch
mater	mutter
materia	materie
material	material
materialist	materialist
materialistically	materialistisch
materialists	materialist
materially	materiell	material
materials	materialien	material
materiel	materiell
mathematic	mathematisch	mathematik
mathematical	mathematisch
mathematically	mathematisch
mathematician	mathematisch
mathematics	mathematik
matinees	matinee
matrix	matrix
matrixes	matrix
matron	matrone
matronal	matrone
matrons	matrone
matt	matt
matte	matt
matted	mattiert
matters	mutter
mattress	matt
matts	matt
maturities	maturität
maturity	maturität
maul	maul	maulen
mauled	maulen
mauler	maulen
mauls	maul	maulen
mausoleum	mausoleum
maut	maus
maw	maya
maxim	maxime
maxima	maxime
maximal	maximal
maximally	maximal
maximals	maximal
maximize	maximieren
maxims	maxime
maximum	maximum	maximal
may	mai
maya	maya
mayan	maya
mayas	maya
mayonnaise	mayonnaise
mayor	major
mayoral	major
mayors	major
mays	mais
mea	meer
meager	mager	magen
meagerly	mager
meal	mehl	meile
meals	mehl
mealy	mehl
mean	meer
mechanic	mechanisch
mechanical	mechanisch
mechanically	mechanisch
mechanics	mechanik
mechanism	mechanismus	mechanismen
mechanistic	mechanistisch
mechanistically	mechanistisch
mechanized	mechanisiert
mechanizing	mechanisierung
media	medien	medium
median	medien
medians	medien
medias	medien
mediating	medien
mediation	medien
medicament	medikament
medicaments	medikament
medicinal	medizin
medicine	medizin
medico	medizin
medics	medien
meditated	meditativ
meditating	meditation
meditatio	meditation
meditation	meditation
meditations	meditation
meditative	meditativ
meditatively	meditativ
medium	medium	medien
medius	medium
meed	meer
meeter	mieter
meeters	mieter
meeting	meeting
meetings	meeting
megabit	megabit
megabits	megabit
megabyte	megabyte
megabytes	megabyte
megalith	megalith
megalithic	megalith
megaphone	megaphon
mein	mein	meinen
mekong	mekong
melancholia	melancholie
melancholiac	melancholisch
melancholic	melancholisch
melancholically	melancholisch
melancholies	melancholie
melancholy	melancholie
meld	melden
melded	melden
melder	melden
melding	melden	meldung
melds	melden
melodic	melodisch
melodically	melodisch
melodies	melodie
melodious	melodisch
melodiousness	melodie
melodist	melodie
melodramatic	melodramatisch
melodramatically	melodramatisch
melody	melodie
melon	melone
melons	melone
membranal	membran
membrane	membran
membranous	membran
memorandum	memorandum
memphis	memphis
men	mann
menage	manager
menageries	manager
menages	manager
mendel	mandel
mendelian	mandel
mendicant	mandante
mendicants	mandante
meniscus	meniskus
mensas	mensa
mensch	mensch
mensed	mensch
mentalities	mentalität
mentality	mentalität
mentor	mentor
mentors	mentor
menus	minus
mercer	merker
mercers	merker
mercery	merker
mercuries	merkur
mercurous	merkur
mercury	merkur
mercy	märz
merlin	merlin
merlins	merlin
merlon	merlin
merlons	merlin
merry	meer
meshing	messen
mesopotamia	mesopotamien
mess	messen
messed	messen	messer
messes	messen	messer
messing	messing	messen	messer
messy	messer	messen
met	meter
metal	metall
metalized	metallisiert
metalled	metallen
metallic	metallisch	metall
metallically	metallisch
metallurgic	metallurgisch
metallurgical	metallurgisch
metallurgically	metallurgisch
metallurgy	metallurgisch
metals	metall
metamorphose	metamorphose
metamorphosis	metamorphose
metamorphous	metamorphose
metaphysical	metaphysisch
metaphysically	metaphysisch
mete	meter
meted	meter	mieter
meteor	meteor
meteoric	meteor
meteoroid	meteor
meteorological	meteorologisch
meteors	meteor
meter	meter	mieter	messer
metered	meter	mieter	messer
metering	meter
meters	meter	mieter
method	methode
methodic	methodisch	methodik
methodical	methodisch
methodically	methodisch
methodism	methodik	methode	methodisch
methodist	methode	methodist
methodists	methodist
methods	methode
metier	metier	medien
metiers	metier
meting	meter
metre	meter	mieter
metred	meter	mieter
metric	metrisch
metrical	metrisch
metrically	metrisch
metricate	metrisch
metricated	metrisch
metring	meter
metro	meter
metronome	metronom
metropolis	metropole
metropolises	metropole
mew	möwe
mewl	mehl	mehl
mewls	mehl	mehl
mexican	mexikanisch
mexico	mexiko
miaul	maul	maulen
miauled	maulen
microbe	mikrobe
microbes	mikrobe
microbiologies	mikrobiologie
microbiology	mikrobiologie
microbus	mikrobe
microfilm	mikrofilm
micrometer	mikrometer
microorganism	mikroorganismus
microphone	mikrophon
microprocessor	mikroprozessor
microscope	mikroskop
microscopic	mikroskopisch
microscopical	mikroskopisch
microscopically	mikroskopisch
mid	mit
midden	minden
middens	minden
midlands	midlands
mids	mies
mien	miene
miens	miene
mikado	mikado
mike	mich
milan	milan
milanese	milan
milch	milch
mild	mild
mildens	mildern
milder	mildern
milieu	milieu
militancy	militant
militant	militant
militantly	militant
militants	militant
militaristic	militaristisch
military	militär
militia	militär
milk	milch
mill	müll
miller	müller
millers	müller
milliard	milliarde
milliards	milliarde
milligram	milligramm
millimeter	millimeter
millimeters	millimeter
million	million
millions	million
millisecond	millisekunde
milliseconds	millisekunde
milt	milz
mime	mime
mimer	mime
mimes	mime
mimic	mimik	mimisch
mimical	mimisch
mimics	mimik
mimosa	mimose
min	mine
minaret	minarett
mincer	minder
mincers	minder
mind	minden	minder
minded	minden	minder
minder	minder	minderung	mindern
minders	minder	mindern
minding	minden
minds	minden
mine	mine
miner	mine
mineral	mineral
minerals	mineral
mines	mine
ming	mengen
mingle	mangel
mingy	menge
mini	mini	mine
miniature	miniatur
minicab	mini
minicar	minicar
minicars	minicar
minicomputer	minicomputer
minicomputers	minicomputer
minimal	minimal
minimally	minimal
minimals	minimal
minimize	minimieren
minimum	minimum	minimal
minis	mine
miniseries	ministerien
minister	minister	ministerium
ministered	minister
ministers	minister
ministrant	ministrant
ministrants	ministrant
ministries	ministerien
ministry	ministerium
mins	mine
minster	münster
minsters	münster
mintage	mittag
minty	mine
minus	minus
minute	minute	minus
minutely	minute
minuter	minute
minutes	minute
minutest	minute
minutia	minute
minuting	minute
mire	mir
mired	mir
miriness	marine
miring	mir
mirk	mark
miry	mir
misanthrope	misanthrope
misanthropes	misanthrope
miser	misere
misery	misere
mismanagement	mismanagement
mismanaging	mismanagement
miss	missen
